Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.171999999999999886e+01,2.676000000000000156e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.902272224426269531e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.175000000000000000e+01,2.685999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.347291469573974609e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.188000000000000256e+01,2.689000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.337633371353149414e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.185000000000000142e+01,2.708999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.328203678131103516e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.188000000000000256e+01,2.696000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.319076776504516602e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.193999999999999773e+01,2.717999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.309679031372070312e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.196999999999999886e+01,2.717999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.300770759582519531e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.200999999999999801e+01,2.737999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.291510105133056641e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.200999999999999801e+01,2.730999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.282199144363403320e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.200999999999999801e+01,2.730999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.027280950546264648e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.200999999999999801e+01,2.741000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.126423907279968262e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.200999999999999801e+01,2.733999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.225457882881164551e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.203999999999999915e+01,2.744000000000000128e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.324581956863403320e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.185000000000000142e+01,2.746999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.423762512207031250e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.185000000000000142e+01,2.750000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.522827243804931641e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.190999999999999659e+01,2.750000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.621964573860168457e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.181000000000000227e+01,2.750000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.721129441261291504e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.178000000000000114e+01,2.757000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.820271706581115723e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.181000000000000227e+01,2.760000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.919315743446350098e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.175000000000000000e+01,2.762999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.018379831314086914e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.181000000000000227e+01,2.776000000000000156e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.117444348335266113e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.175000000000000000e+01,2.769999999999999929e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.216640615463256836e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.181000000000000227e+01,2.776000000000000156e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.315680122375488281e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.175000000000000000e+01,2.767000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.414771342277526855e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.175000000000000000e+01,2.773000000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.513895535469055176e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.188000000000000256e+01,2.773000000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.612924885749816895e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.181000000000000227e+01,2.789000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.712018704414367676e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.188000000000000256e+01,2.782999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.811037492752075195e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.185000000000000142e+01,2.789000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.910092043876647949e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.193999999999999773e+01,2.789000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.009268546104431152e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.196999999999999886e+01,2.798999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.108272480964660645e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.203999999999999915e+01,2.789000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.207286071777343750e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.207000000000000028e+01,2.792000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.306399321556091309e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.207000000000000028e+01,2.801999999999999957e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.405471682548522949e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.207000000000000028e+01,2.789000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.504587888717651367e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.210000000000000142e+01,2.805000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
